word,definition,lvl1,lvl2,lvl3,entity_type,context_tag
วาจา,ถ้อยคำหรือคำพูด การสื่อสารผ่านเสียง,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,community,community_life
ขับลำ,การขับร้องหรือการเล่าเรื่องด้วยทำนองท้องถิ่น,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,music,performing_arts
ไหว้ครู,พิธีกรรมแสดงความกตัญญูและเคารพต่อครูอาจารย์,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ritual,ritual_belief
แต่งตัว,การประดับตกแต่งร่างกายด้วยเสื้อผ้าและเครื่องประดับตามระเบียบหรือโอกาส,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,artifact,material_culture
หญิงสาว,สตรีวัยแรกรุ่นที่มีบทบาทสำคัญในโครงสร้างสังคมหรือตัวละครในเรื่องราว,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,community,community_life
ศิลปะป้องกันตัว,ทักษะและกลวิธีในการต่อสู้เพื่อป้องกันอันตราย,ศิลปะการแสดงและดนตรี,บุคลากรและทักษะทางศิลปะ,กลวิธีและสมรรถนะการแสดง,music,performing_arts
นักษัตร,ชื่อรอบปีตามคติความเชื่อที่กำหนดโดยใช้สัตว์เป็นสัญลักษณ์,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,ระบบความเชื่อและศาสนา,คติทางศาสนาและสิ่งศักดิ์สิทธิ์,deity,ritual_belief
ชุมนุม,การรวมตัวกันของกลุ่มคนหรือการรวบรวมบทเพลง/บทสวดในจารีต,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,music,performing_arts
วิรุณจำบัง,ชื่อยักษ์ซึ่งเป็นตัวละครสำคัญในวรรณคดีเรื่องรามเกียรติ์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
สี่ภาค,การแบ่งเขตการปกครองหรือภูมิภาคทางภูมิศาสตร์ของประเทศไทย,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
พระพุทธรูป,รูปจำลองของพระพุทธเจ้าที่สร้างขึ้นเพื่อเป็นที่เคารพสักการะ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,สถาปัตยกรรมและพุทธศิลป์,ศาสนสถานและปูชนียวัตถุ,artifact,material_culture
สุรินทร์,ชื่อจังหวัดในประเทศไทยซึ่งเป็นพื้นที่ที่มีประวัติศาสตร์และวัฒนธรรมเฉพาะตัว,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
ภูเขา,พื้นที่ทางภูมิศาสตร์ที่มีความสูงโดดเด่น มักเกี่ยวข้องกับคติความเชื่อ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,พื้นที่ในคติความเชื่อและประวัติศาสตร์,place,historical_spatial
เข้าเฝ้า,การไปพบหรือปรากฏตัวต่อหน้าบุคคลชั้นสูงตามจารีตประเพณี,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ritual,ritual_belief
วาดภาพ,กระบวนการสร้างสรรค์งานทัศนศิลป์ด้วยการเขียนหรือระบายสี,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,artifact,material_culture
เพลงรำซิมารำ,บทเพลงประกอบการแสดงนาฏศิลป์พื้นบ้านที่มีท่วงทำนองเฉพาะ,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,music,performing_arts
ฝั่งน้ำ,พื้นที่ริมตลิ่งซึ่งเป็นจุดศูนย์กลางของวิถีชีวิตและชุมชนริมน้ำ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,community,community_life
มือเปล่า,การแสดงหรือการต่อสู้โดยไม่ใช้อาวุธหรืออุปกรณ์เสริม,ศิลปะการแสดงและดนตรี,บุคลากรและทักษะทางศิลปะ,กลวิธีและสมรรถนะการแสดง,music,performing_arts
โบราณวัตถุ,สังหาริมทรัพย์ที่เป็นของโบราณ มีรูปร่างลักษณะที่เป็นประโยชน์ในทางศิลปะ ประวัติศาสตร์ หรือโบราณคดี,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,สถาปัตยกรรมและพุทธศิลป์,ศาสนสถานและปูชนียวัตถุ,artifact,historical_spatial
นางเอก,ตัวละครสตรีที่มีบทบาทสำคัญที่สุดในเรื่องหรือการแสดง,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
มโนราห์,ศิลปะการแสดงพื้นเมืองของภาคใต้ หรือตัวละครกินรีในวรรณคดีเรื่องพระสุธน-มโนราห์,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,music,performing_arts
แกล้งทำ,การแสดงกิริยาอาการที่ไม่จริงเพื่อให้ผู้อื่นเข้าใจผิด ในบริบทการแสดงคือการตีบทบาท,ศิลปะการแสดงและดนตรี,บุคลากรและทักษะทางศิลปะ,กลวิธีและสมรรถนะการแสดง,music,performing_arts
องค์ปะตาระกาหลา,เทพเจ้าสูงสุดหรือเทวดาผู้เป็นต้นวงศ์ของกษัตริย์ในวรรณคดีเรื่องอิเหนา,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
สมัยศรีวิชัย,ช่วงเวลาทางประวัติศาสตร์ของอาณาจักรโบราณในเอเชียตะวันออกเฉียงใต้,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,concept,historical_spatial
สัตว์น้ำ,สัตว์ที่อาศัยและดำรงชีวิตอยู่ในน้ำ เป็นส่วนหนึ่งของทรัพยากรและโภชนาการ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและระบบเศรษฐกิจ,การประกอบอาชีพและโภชนาการ,community,community_life
ศิลปหัตถกรรม,งานช่างที่ทำด้วยมือโดยอาศัยทักษะทางศิลปะและประณีตศิลป์,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,artifact,material_culture
สายสืบ,ผู้ที่ทำหน้าที่สืบข่าวคราวหรือหาข้อมูลลับในทางราชการหรือการสงคราม,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,community,community_life
ดนตรีพื้นบ้าน,ดนตรีที่เกิดจากภูมิปัญญาของคนในท้องถิ่น บรรเลงตามจารีตของชุมชน,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,เครื่องดนตรีและวงดนตรี,music,performing_arts
เพลงงามแสงเดือน,หนึ่งในเพลงรำวงมาตรฐานที่มีท่วงทำนองและเนื้อร้องเฉพาะ,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,music,performing_arts
ขับไล่,การทำพิธีเพื่อไล่สิ่งอัปมงคลหรืออำนาจชั่วร้ายออกไป,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,คติความเชื่อและไสยศาสตร์,การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,mythical_being,ritual_belief
ของที่ระลึก,วัตถุที่มอบให้หรือซื้อไว้เพื่อเป็นเครื่องเตือนความจำถึงบุคคลหรือสถานที่,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,community,community_life
พระราชพิธี,พิธีที่พระมหากษัตริย์ทรงพระกรุณาโปรดเกล้าฯ ให้จัดขึ้นตามราชประเพณี,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ritual,ritual_belief
ชาวเขา,กลุ่มชาติพันธุ์ที่อาศัยอยู่บนพื้นที่สูงหรือภูเขา มีวัฒนธรรมเฉพาะตัว,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,อัตลักษณ์ทางสังคมและกลุ่มคน,กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,community,community_life
ชาวพื้นเมือง,กลุ่มคนดั้งเดิมที่อาศัยอยู่ในพื้นที่นั้นๆ มาเป็นเวลานาน,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,อัตลักษณ์ทางสังคมและกลุ่มคน,กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,place,community_life
จิตรกรรม,ผลงานศิลปะที่สร้างขึ้นด้วยการวาด ระบายสี หรือการขีดเขียน,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,artifact,material_culture
นครราชสีมา,ชื่อจังหวัดหนึ่งในภาคตะวันออกเฉียงเหนือของประเทศไทย,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
แหลมมลายู,คาบสมุทรขนาดใหญ่ในเอเชียตะวันออกเฉียงใต้,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
พระพี่เลี้ยง,ผู้ทำหน้าที่ดูแลปรนนิบัติเจ้านายหรือตัวละครสำคัญในวรรณคดี,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
ดวงแก้ว,อัญมณีที่มีลักษณะกลมใสหรือของวิเศษที่มีอำนาจ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,วัสดุและอัญมณี,วัสดุธรรมชาติและรัตนชาติ,artifact,material_culture
กราววีรชัยลิง,เพลงหน้าพาทย์ที่ใช้ประกอบการยกทัพของตัวละครประเภทลิง,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,music,performing_arts
สะล้อ,เครื่องดนตรีประเภทเครื่องสายที่ใช้คันสีของภาคเหนือ,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,เครื่องดนตรีและวงดนตรี,music,performing_arts
สกลนคร,ชื่อจังหวัดหนึ่งในภาคตะวันออกเฉียงเหนือของประเทศไทย,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
กลองสะบัดชัย,กลองพื้นเมืองล้านนาในอดีตใช้ตีในการสงครามเพื่อความเป็นสิริมงคล,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,เครื่องดนตรีและวงดนตรี,music,performing_arts
มุสลิม,ผู้นับถือศาสนาอิสลาม,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,ระบบความเชื่อและศาสนา,คติทางศาสนาและสิ่งศักดิ์สิทธิ์,deity,ritual_belief
ชั้นเดียว,อัตราจังหวะดนตรีไทยที่มีความเร็วที่สุด,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,music,performing_arts
พระศิวะ,หนึ่งในตรีมูรติ เทพเจ้าผู้ทำลายล้างในศาสนาพราหมณ์-ฮินดู,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
กรุงลงกา,เมืองหลวงของทศกัณฐ์ในวรรณคดีเรื่องรามเกียรติ์,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,พื้นที่ในคติความเชื่อและประวัติศาสตร์,concept,historical_spatial
ต่อสู้,กระบวนท่ารำที่แสดงการรบหรือการปะทะกันในการแสดง,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,music,performing_arts
พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์,พระราชโอรสในรัชกาลที่ 4 ผู้ทรงเป็นต้นราชกุลวรวรรณ และมีบทบาทสำคัญด้านวรรณกรรมและการละคร,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,community,community_life
สมัยลพบุรี,ช่วงเวลาทางประวัติศาสตร์ศิลปะในประเทศไทยที่ได้รับอิทธิพลจากศิลปะขอม,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,concept,historical_spatial
แผ่อิทธิพล,การขยายอำนาจหรือความเชื่อให้ครอบคลุมพื้นที่หรือกลุ่มคน,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,concept,historical_spatial
การศึก,การทำสงครามหรือการสู้รบ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,concept,historical_spatial
ต้นรัง,ชื่อไม้ยืนต้นชนิดหนึ่ง มักปรากฏในวิถีชีวิตและวรรณคดีไทย,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,community,community_life
สำเภา,เรือเดินทะเลขนาดใหญ่แบบจีนที่ใช้ในการค้าขายสมัยโบราณ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและระบบเศรษฐกิจ,การประกอบอาชีพและโภชนาการ,community,community_life
กลองยาว,เครื่องดนตรีประเภทตี มีรูปทรงยาว ใช้ในขบวนแห่และการละเล่นพื้นบ้าน,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,เครื่องดนตรีและวงดนตรี,music,performing_arts
นายขวัญ,ชื่อตัวละครชายในวรรณกรรมหรือบทละครไทย,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
ไส้กะลา,ส่วนประกอบหรือเทคนิคในงานช่างประณีตศิลป์ที่ใช้กะลามะพร้าว,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,artifact,material_culture
ได้ยิน,การรับรู้เสียงผ่านโสตประสาท เป็นพฤติกรรมพื้นฐานของมนุษย์,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,community,community_life
มารดา,หญิงผู้ให้กำเนิด หรือคำเรียกแสดงลำดับเครือญาติ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,concept,general
มรกต,รัตนชาติสีเขียว จัดเป็นหนึ่งในนพรัตน์,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,วัสดุและอัญมณี,วัสดุธรรมชาติและรัตนชาติ,artifact,material_culture
พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว,พระมหากษัตริย์ไทยรัชกาลที่ 4 แห่งราชวงศ์จักรี,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,community,community_life
สิ่งศักดิ์สิทธิ์,สิ่งที่เคารพบูชาซึ่งเชื่อว่ามีอำนาจเหนือธรรมชาติ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,ระบบความเชื่อและศาสนา,คติทางศาสนาและสิ่งศักดิ์สิทธิ์,deity,ritual_belief
กสิกรรม,การเพาะปลูกพืชเพื่อเป็นอาหารหรือการค้า,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและระบบเศรษฐกิจ,การประกอบอาชีพและโภชนาการ,community,community_life
ละครชาตรี,รูปแบบการแสดงละครรำที่เก่าแก่ที่สุดชนิดหนึ่งของไทย นิยมเล่นเรื่องพระสุธน-มโนราห์,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,music,performing_arts
พระอุโบสถ,อาคารที่พระสงฆ์ใช้ประชุมทำสังฆกรรม เช่น การอุปสมบท,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,สถาปัตยกรรมและพุทธศิลป์,ศาสนสถานและปูชนียวัตถุ,artifact,material_culture
มีแบบแผน,การปฏิบัติที่มีระเบียบ กฎเกณฑ์ หรือจารีตที่สืบทอดต่อกันมา,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ritual,ritual_belief
หล่อสำริด,เทคนิคการหลอมโลหะผสมระหว่างทองแดงและดีบุกเพื่อสร้างรูปเคารพหรือวัตถุศิลปะ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,artifact,material_culture
เจ้าที่เจ้าทาง,วิญญาณหรือเทพารักษ์ที่ปกปักรักษาพื้นที่หรือสถานที่นั้นๆ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,คติความเชื่อและไสยศาสตร์,การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,mythical_being,ritual_belief
ราชสำนัก,สถานที่ประทับของพระมหากษัตริย์และเป็นศูนย์กลางการบริหารปกครอง,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,พื้นที่ทางวัฒนธรรมและสถาบัน,สถานที่จัดแสดงและเขตพระราชฐาน,place,historical_spatial
นนทก,ยักษ์ผู้ทำหน้าที่ล้างเท้าเทวดาที่เชิงเขาไกรลาศ เป็นต้นกำเนิดของทศกัณฐ์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
