word,cluster_label,cluster_size
สงคราม,0,265
พระราชบัญชา,0,265
วันทอง,0,265
แว่นแก้วสุรกานต์,1,223
ผูกพัน,1,223
แปลงกาย,0,265
มารีศ,1,223
อินโดนีเซีย,0,265
ปิดหน้า,0,265
ลูกไม้,0,265
ที่รัก,0,265
ร่วมใน,3,214
หลบหนี,3,214
โปรตุเกส,3,214
บรรดา,0,265
บุตรชาย,1,223
ศิลปินแห่งชาติ,0,265
เจ้าพระยา,0,265
กากนาสูร,1,223
กวางทอง,0,265
พระเจ้าชัยวรมัน,2,198
สืบทอด,3,214
สภาพอากาศ,0,265
แม่น้ำ,3,214
เปรียบเสมือน,3,214
การยุติ,3,214
ประทาน,3,214
อากัปกิริยา,2,198
นึกถึง,3,214
บรรยากาศ,1,223
ว่องไว,2,198
หายตัว,0,265
บูชาครู,0,265
เจ้าเงาะ,0,265
การขึ้นลอย,0,265
ตัวพระ,0,265
เป็นบ้า,0,265
วิรุญจำบัง,3,214
ยมะ,1,223
ปราสาทเมืองสิงห์,2,198
ปราสาทหินพิมาย,0,265
พื้นฐาน,2,198
รามเกียรติ์,0,265
ต้นไม้,0,265
อาจารย์,0,265
โกเมน,1,223
พระชายา,1,223
จีนรัว,0,265
มณีพิชัย,2,198
แมนสรวง,0,265
สวามิภักดิ์,2,198
สำเนียง,0,265
พาลี,3,214
ผางประทีป,0,265
ท่วงทำนอง,3,214
กุมภกรรณ,2,198
พญาผานอง,0,265
เขาสัตภัณฑ์,3,214
ผู้แสดงฝ่ายหญิง,0,265
หมู่เกาะ,3,214
ศรพรหมาสตร์,2,198
ปราสาทพระขรรค์,2,198
ทิศตะวันออก,0,265
รำเดี่ยว,0,265
กระบวนท่ารำ,0,265
แม่ไม้มวย,0,265
ยอพระกลิ่น,2,198
หนุมาน,1,223
เวที,3,214
รำพัด,0,265
จุดไฟ,1,223
รุทการ,3,214
ออกอุบาย,0,265
วิถี,1,223
เชิงมวย,0,265
เรื่องราว,1,223
เชียงใหม่,3,214
แก้แค้น,1,223
ชายหนุ่ม,2,198
การรำ,3,214
บทละคร,3,214
ความคล่องแคล่ว,1,223
เพลงอัตราจังหวะสองชั้น,1,223
ศิลปกรรม,2,198
น้อยใจยา,2,198
พระราชธิดา,2,198
ประติมากรรม,3,214
ภาษามลายู,3,214
ย่องหงิด,3,214
