word,stopword_type,reason
จัดแสดง,Umbrella Term / Low Semantic Weight,เป็นคำกิจกรรมกว้างในโดเมน
เลียนแบบ,Umbrella Term / Low Semantic Weight,เป็นคำกิจกรรมทั่วไป
เป็นต้นแบบ,Umbrella Term / Low Semantic Weight,เป็นคำเชิงโครงสร้างทั่วไป
สาวงาม,Abstract or Evaluative Term,เป็นคำเชิงประเมินค่า
ขอความช่วยเหลือ,Abstract or Evaluative Term,เป็นคำกริยานามธรรมทั่วไป
ชื่อเรื่อง,Abstract or Evaluative Term,เป็นคำโครงสร้างนามธรรม
อันหนึ่งอันเดียว,Abstract or Evaluative Term,เป็นนามธรรมเชิงแนวคิด
ทางวัฒนธรรม,Domain-Specific Overuse,ซ้ำเชิงความหมายกับ วัฒนธรรม
มรดกวัฒนธรรม,Domain-Specific Overuse,ซ้ำเชิงความหมายกับ มรดก และ วัฒนธรรม
มีวัฒนธรรม,Domain-Specific Overuse,ซ้ำเชิงความหมายกับ วัฒนธรรม
เดินทาง,Redundant or Synonym,เป็นคำกิจกรรมทั่วไป ซ้ำกับบริบทอื่น
แต่งกาย,Redundant or Synonym,ซ้ำเชิงความหมายกับ เครื่องแบบ/เครื่องแต่งกาย
เคลื่อนไหว,Redundant or Synonym,เป็นคำกริยาทั่วไป ซ้ำความหมาย
การร้อง,Redundant or Synonym,ซ้ำเชิงความหมายกับ ขับร้อง/การขับร้อง
รูปร่าง,Umbrella Term / Low Semantic Weight,เป็นคำบรรยายกว้าง ไม่เฉพาะเจาะจง
ทางการ,Umbrella Term / Low Semantic Weight,เป็นคำบริบทกว้าง ใช้ได้หลายกรณี
สร้างสรรค์,Umbrella Term / Low Semantic Weight,เป็นคำประเมินกว้าง ไม่บ่งชี้เนื้อหาเฉพาะ
นำเสนอ,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไปเชิงกระบวนการ
อุปกรณ์,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้าง
อิทธิพล,Umbrella Term / Low Semantic Weight,เป็นนามธรรมกว้าง ใช้ได้ทุกบริบท
ประจำปี,Umbrella Term / Low Semantic Weight,เป็นคำบอกช่วงเวลากว้าง
วิชา,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่ทั่วไป
ตำรา,Umbrella Term / Low Semantic Weight,เป็นคำทั่วไปเชิงโครงสร้าง
ผู้ชม,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้าง
ผู้แสดง,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้างในโดเมน
บรรพบุรุษ,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้าง
ธรรมชาติ,Umbrella Term / Low Semantic Weight,เป็นคำกว้าง ใช้ได้ทุกบริบท
สมบัติ,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้าง
นวัตกรรม,Umbrella Term / Low Semantic Weight,เป็นคำกว้าง ไม่เฉพาะเจาะจงในโดเมน
สากล,Umbrella Term / Low Semantic Weight,เป็นคำบอกระดับกว้าง
ดินแดน,Umbrella Term / Low Semantic Weight,เป็นคำเชิงพื้นที่กว้าง
เวลา,Umbrella Term / Low Semantic Weight,เป็นคำบอกโครงสร้างเวลากว้าง
การอนุรักษ์,Umbrella Term / Low Semantic Weight,เป็นคำกิจกรรมกว้างในโดเมน
การดำเนินชีวิต,Umbrella Term / Low Semantic Weight,เป็นคำหมวดกว้าง ซ้ำกับ วิถีชีวิต
การประกอบอาชีพ,Umbrella Term / Low Semantic Weight,เป็นคำกิจกรรมกว้าง
ที่อยู่,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
โดยรวม,Umbrella Term / Low Semantic Weight,เป็นคำเชิงโครงสร้างกว้าง
หลากหลาย,Umbrella Term / Low Semantic Weight,เป็นคำประเมินกว้าง
บรรดา,Umbrella Term / Low Semantic Weight,เป็นคำบอกหมวดหมู่กว้าง
ประชากร,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้าง
ร่างกาย,Umbrella Term / Low Semantic Weight,เป็นคำกว้าง ใช้ได้ทุกบริบท
ค่านิยม,Abstract or Evaluative Term,เป็นนามธรรมเชิงคุณค่า
มงคล,Abstract or Evaluative Term,เป็นคำเชิงความเชื่อนามธรรม
ยุติธรรม,Abstract or Evaluative Term,เป็นนามธรรมเชิงประเมินค่า
โดดเด่น,Abstract or Evaluative Term,เป็นคำประเมินค่ากว้าง
สมควร,Abstract or Evaluative Term,เป็นคำประเมินค่า
ผูกพัน,Abstract or Evaluative Term,เป็นนามธรรมทางอารมณ์
รักสนุก,Abstract or Evaluative Term,เป็นคำประเมินอารมณ์
ว่องไว,Abstract or Evaluative Term,เป็นคำประเมินค่า
โมโห,Abstract or Evaluative Term,เป็นคำแสดงอารมณ์
รำลึก,Abstract or Evaluative Term,เป็นนามธรรมเชิงความรู้สึก
นึกถึง,Abstract or Evaluative Term,เป็นนามธรรมเชิงความรู้สึก
หายตัว,Abstract or Evaluative Term,เป็นคำกว้างไม่เฉพาะเจาะจง
ร้ายกาจ,Abstract or Evaluative Term,เป็นคำประเมินค่า
อารยธรรม,Abstract or Evaluative Term,เป็นนามธรรมกว้าง
สำนึก,Abstract or Evaluative Term,เป็นนามธรรม
หล่อหลอม,Abstract or Evaluative Term,เป็นนามธรรมเชิงกระบวนการ
ผสมผสาน,Abstract or Evaluative Term,เป็นนามธรรมเชิงกระบวนการ
ปกป้อง,Abstract or Evaluative Term,เป็นคำกริยากว้างนามธรรม
การแสดงพื้นเมือง,Domain-Specific Overuse,เป็นคำหมวดหลักที่ใช้บ่อยในโดเมน
นาฏศิลป์พื้นบ้าน,Domain-Specific Overuse,เป็นคำหมวดหลักที่ใช้บ่อยในโดเมน
การละเล่นพื้นเมือง,Domain-Specific Overuse,ซ้ำเชิงความหมายกับ การละเล่น
จารีตประเพณี,Domain-Specific Overuse,ซ้ำเชิงความหมายกับ ประเพณี
พิธีทางศาสนา,Domain-Specific Overuse,เป็นคำหมวดกว้างในโดเมน
มหรสพ,Domain-Specific Overuse,เป็นคำหมวดการแสดงกว้าง
ร่ายรำ,Domain-Specific Overuse,ซ้ำเชิงความหมายกับ การรำ
ฟ้อนรำ,Domain-Specific Overuse,ซ้ำเชิงความหมายกับ การฟ้อนรำ
การดำรงชีวิต,Redundant or Synonym,ซ้ำเชิงความหมายกับ การดำเนินชีวิต
การเดินทาง,Redundant or Synonym,ซ้ำเชิงความหมายกับ ออกเดินทาง
การแต่งกาย,Redundant or Synonym,ซ้ำเชิงความหมายกับ แต่งตัว/เครื่องแต่งกาย
การเคลื่อนไหว,Redundant or Synonym,ซ้ำเชิงความหมายกับ เคลื่อนไหว
กิริยาท่าทาง,Redundant or Synonym,ซ้ำเชิงความหมายกับ ท่าทาง และ กิริยา
ออกเดินทาง,Redundant or Synonym,ซ้ำเชิงความหมายกับ การเดินทาง
สิ้นชีวิต,Redundant or Synonym,ซ้ำเชิงความหมายกับ สิ้นชีพ/จนตาย
สิ้นชีพ,Redundant or Synonym,ซ้ำเชิงความหมายกับ สิ้นชีวิต/จนตาย
การดีด,Redundant or Synonym,เป็นคำกว้าง ซ้ำความหมาย
การขับ,Redundant or Synonym,ซ้ำเชิงความหมายกับ ขับลำ/ขับร้อง
คนไทย,Umbrella Term / Low Semantic Weight,เป็นคำเรียกกลุ่มคนกว้าง
จังหวัด,Umbrella Term / Low Semantic Weight,เป็นคำบอกพื้นที่ระดับกว้าง
ชาวบ้าน,Umbrella Term / Low Semantic Weight,เป็นคำเรียกกลุ่มคนกว้าง
ชาวพื้นเมือง,Umbrella Term / Low Semantic Weight,เป็นคำเรียกกลุ่มคนกว้าง
ดอกไม้เงิน,Umbrella Term / Low Semantic Weight,เป็นคำระบุสิ่งของทั่วไป
ต้นไม้,Umbrella Term / Low Semantic Weight,เป็นคำหมวดพืชกว้าง
ทิศตะวันตก,Umbrella Term / Low Semantic Weight,เป็นคำบอกทิศทางกว้าง
ทิศตะวันออก,Umbrella Term / Low Semantic Weight,เป็นคำบอกทิศทางกว้าง
น้ำมันยาง,Umbrella Term / Low Semantic Weight,เป็นคำระบุวัตถุดิบทั่วไป
บุรุษ,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
ประเทศไทย,Umbrella Term / Low Semantic Weight,เป็นคำบอกพื้นที่ระดับกว้าง
ปัดเป่า,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไปในบริบทกว้าง
ฝั่งน้ำ,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
พืชพรรณ,Umbrella Term / Low Semantic Weight,เป็นคำหมวดพืชกว้าง
ภูเขา,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
ริมแม่น้ำ,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
ฤดูกาล,Umbrella Term / Low Semantic Weight,เป็นคำบอกเวลากว้าง
ลอยน้ำ,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
ลูกไม้,Umbrella Term / Low Semantic Weight,เป็นคำหมวดสิ่งของกว้าง
วสันตฤดู,Umbrella Term / Low Semantic Weight,เป็นคำบอกเวลากว้าง
วัตถุดิบ,Umbrella Term / Low Semantic Weight,เป็นคำหมวดสิ่งของกว้าง
วิดน้ำ,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
สมัยโบราณ,Umbrella Term / Low Semantic Weight,เป็นคำบอกช่วงเวลากว้าง
สัตว์น้ำ,Umbrella Term / Low Semantic Weight,เป็นคำหมวดสัตว์กว้าง
สายสืบ,Umbrella Term / Low Semantic Weight,เป็นคำหมวดบุคคลทั่วไป
สีน้ำเงิน,Umbrella Term / Low Semantic Weight,เป็นคำบอกสีทั่วไป
หน่อไม้,Umbrella Term / Low Semantic Weight,เป็นคำระบุสิ่งของทั่วไป
เครื่องดนตรี,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้างในโดเมน
เครื่องแต่งกาย,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้าง
เล่นน้ำ,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
แต่งกายยืนเครื่องพระ,Umbrella Term / Low Semantic Weight,เป็นคำบรรยายการแต่งกายกว้าง
แม่น้ำ,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
แม่น้ำโขง,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
แม่ไม้มวย,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่ท่ากว้าง
แหล่งน้ำ,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
ไม้ยาว,Umbrella Term / Low Semantic Weight,เป็นคำระบุอุปกรณ์กว้าง
ไม้สั้น,Umbrella Term / Low Semantic Weight,เป็นคำระบุอุปกรณ์กว้าง
กลอุบาย,Abstract or Evaluative Term,เป็นนามธรรมเชิงกลวิธี
การขึ้นลอย,Abstract or Evaluative Term,เป็นคำกริยานามธรรมกว้าง
การนุ่งห่ม,Abstract or Evaluative Term,เป็นคำกริยาทั่วไปไม่เฉพาะเจาะจง
การปั้น,Abstract or Evaluative Term,เป็นคำกิจกรรมทั่วไป
การยุติ,Abstract or Evaluative Term,เป็นนามธรรมเชิงกระบวนการ
การรบ,Abstract or Evaluative Term,เป็นคำกิจกรรมกว้าง
การละเล่น,Abstract or Evaluative Term,เป็นคำหมวดกิจกรรมกว้าง
การศึก,Abstract or Evaluative Term,เป็นคำกิจกรรมกว้าง
การสอน,Abstract or Evaluative Term,เป็นคำกิจกรรมทั่วไป
การหลอมรวม,Abstract or Evaluative Term,เป็นนามธรรมเชิงกระบวนการ
การออกไป,Abstract or Evaluative Term,เป็นคำกริยานามธรรมกว้าง
การแปร,Abstract or Evaluative Term,เป็นนามธรรมเชิงกระบวนการ
การโปรย,Abstract or Evaluative Term,เป็นคำกริยาทั่วไป
การให้กำเนิด,Abstract or Evaluative Term,เป็นนามธรรมเชิงกระบวนการ
การไถ,Abstract or Evaluative Term,เป็นคำกิจกรรมทั่วไป
คุณูปการ,Abstract or Evaluative Term,เป็นนามธรรมเชิงคุณค่า
ชั้นเดียว,Abstract or Evaluative Term,เป็นคำบรรยายกว้าง ไม่เฉพาะเจาะจง
นิมิต,Abstract or Evaluative Term,เป็นนามธรรมเชิงความเชื่อ
น้อยใจยา,Abstract or Evaluative Term,เป็นคำแสดงอารมณ์
ประกอบการ,Abstract or Evaluative Term,เป็นคำกิจกรรมทั่วไป
ปราชัย,Abstract or Evaluative Term,เป็นนามธรรมเชิงประเมิน
ผู้มีพระคุณ,Abstract or Evaluative Term,เป็นนามธรรมเชิงคุณค่า
พระคุณ,Abstract or Evaluative Term,เป็นนามธรรมเชิงคุณค่า
พระราชวังบวรสถานมงคล,Abstract or Evaluative Term,เป็นคำสถานที่กว้าง ไม่ชี้เนื้อหาการแสดง
มูลเหตุ,Abstract or Evaluative Term,เป็นนามธรรมเชิงโครงสร้าง
วรรณคดี,Abstract or Evaluative Term,เป็นคำหมวดหมู่กว้างในโดเมน
ว่าการ,Abstract or Evaluative Term,เป็นคำกริยาทั่วไปกว้าง
หลักฐาน,Abstract or Evaluative Term,เป็นนามธรรมเชิงโครงสร้าง
หลักปฏิบัติ,Abstract or Evaluative Term,เป็นนามธรรมเชิงโครงสร้าง
หลักราชการ,Abstract or Evaluative Term,เป็นนามธรรมเชิงโครงสร้าง
ออกอุบาย,Abstract or Evaluative Term,ซ้ำเชิงความหมายกับ อุบาย/กลอุบาย
อุบาย,Abstract or Evaluative Term,เป็นนามธรรมเชิงกลวิธี
เอาชนะ,Abstract or Evaluative Term,เป็นคำกริยาทั่วไปกว้าง
ให้การ,Abstract or Evaluative Term,เป็นคำกริยานามธรรมกว้าง
นางใน,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
นานาชาติ,Umbrella Term / Low Semantic Weight,เป็นคำบอกระดับกว้าง
บทร้อง,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้างในโดเมน
บทละคร,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้างในโดเมน
ปิดหน้า,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
ฝ่ามือ,Umbrella Term / Low Semantic Weight,เป็นคำบอกร่างกายกว้าง
พระชายา,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
พระญาติ,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
พระตำหนัก,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
พระนิพนธ์,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่ผลงานกว้าง
พระมหากษัตริย์,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
พระยา,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบรรดาศักดิ์กว้าง
